Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2;Cord3;Cord4
;6;19-feb-14;2014;February;10:53;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52162";;
;7;19-feb-14;2014;February;10:55;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52163";;
;8;19-feb-14;2014;February;10:57;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52164";;
;9;19-feb-14;2014;February;11:00;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52165";;
;10;19-feb-14;2014;February;11:02;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Mycteroperca olfax;;;;;2;;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52166";;
;10;19-feb-14;2014;February;11:02;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Lutjanus argentiventris;;;;;1;1;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52167";;
;11;19-feb-14;2014;February;11:05;Marchena;Marchena oeste;Norte;David Acuña;16;42;40;2;1;C;M;;24;;14;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;No se encendió el GPS. Se pone 40m de transecto;Se contaron las rayas;"Coordenada salida track (se venía nadando del norte): 0.37270; -90.52168";;
;1;19-feb-14;2014;February;14:47;Marchena;Marchena Norte;Norte;David Acuña;16;30;52;2;1;C;M;;25;;10;;Mycteroperca olfax;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
;1;19-feb-14;2014;February;14:47;Marchena;Marchena Norte;Norte;David Acuña;16;30;52;2;1;C;M;;25;;10;;Lutjanus argentiventris;;;;;2;3;1;;;;;;;;;;;;;;;;;;;;;;
;2;19-feb-14;2014;February;14:49;Marchena;Marchena Norte;Norte;David Acuña;16;30;68;2;1;C;M;;25;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;3;19-feb-14;2014;February;14:52;Marchena;Marchena Norte;Norte;David Acuña;16;30;52;2;1;C;M;;25;;10;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;3;19-feb-14;2014;February;14:52;Marchena;Marchena Norte;Norte;David Acuña;16;30;52;2;1;C;M;;25;;10;;Lutjanus novemfasciatus;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
;4;19-feb-14;2014;February;14:55;Marchena;Marchena Norte;Norte;David Acuña;16;30;61;2;1;C;M;;25;;10;;Dasyatis brevis;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;5;19-feb-14;2014;February;14:57;Marchena;Marchena Norte;Norte;David Acuña;16;30;58;2;1;C;M;;25;;10;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;5;19-feb-14;2014;February;14:57;Marchena;Marchena Norte;Norte;David Acuña;16;30;58;2;1;C;M;;25;;10;;Chelonia mydas;macho;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;6;19-feb-14;2014;February;15:00;Marchena;Marchena Norte;Norte;David Acuña;16;30;59;2;1;C;M;;25;;10;;Lutjanus argentiventris;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;
;6;19-feb-14;2014;February;15:00;Marchena;Marchena Norte;Norte;David Acuña;16;30;59;2;1;C;M;;25;;10;;Chelonia mydas;hembra;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
;7;19-feb-14;2014;February;15:02;Marchena;Marchena Norte;Norte;David Acuña;16;30;37;2;1;C;M;;25;;10;;Aetobatus narinari;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
;1;20-feb-14;2014;February;06:45;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;42;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;2;20-feb-14;2014;February;06:47;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;62;2;1;C;M;;26;;10;;Sphyrna lewini;indeterminado;;;;;;;;;;;;;;;;2;;;;;;;;;;;;
;2;20-feb-14;2014;February;06:47;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;62;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;3;20-feb-14;2014;February;06:50;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;37;2;1;C;M;;26;;10;;Sphyrna lewini;hembra;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
;3;20-feb-14;2014;February;06:50;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;37;2;1;C;M;;26;;10;;Aetobatus narinari;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
;4;20-feb-14;2014;February;06:52;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;57;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
;5;20-feb-14;2014;February;06:55;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;64;2;1;C;M;;26;;10;;Mycteroperca olfax;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;20-feb-14;2014;February;06:57;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;49;2;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;20-feb-14;2014;February;07:00;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;54;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;8;20-feb-14;2014;February;07:02;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;69;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;9;20-feb-14;2014;February;07:04;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;61;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
;9;20-feb-14;2014;February;07:04;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;61;2;1;C;M;;26;;10;;Caranx melampygus;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;9;20-feb-14;2014;February;07:04;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;61;2;1;C;M;;26;;10;;Hoplopagrus guentherii;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;9;20-feb-14;2014;February;07:04;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;61;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;10;20-feb-14;2014;February;07:06;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;45;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;10;20-feb-14;2014;February;07:06;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;45;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;11;20-feb-14;2014;February;07:08;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;51;2;1;C;M;;26;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;20-feb-14;2014;February;07:10;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;45;2;1;C;M;;26;;10;;Chelonia mydas;hembra;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
;13;20-feb-14;2014;February;07:13;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;62;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;
;13;20-feb-14;2014;February;07:13;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;62;2;1;C;M;;26;;10;;Chelonia mydas;hembra;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;13;20-feb-14;2014;February;07:13;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;62;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;13;20-feb-14;2014;February;07:13;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;62;2;1;C;M;;26;;10;;Aetobatus narinari;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
;14;20-feb-14;2014;February;07:15;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;54;2;1;C;M;;26;;10;;Lutjanus argentiventris;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;
;15;20-feb-14;2014;February;07:17;Marchena;Marchena Noreste;Norte;Pelayo Salinas;17;40;29;2;1;C;M;;26;;10;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;1;20-feb-14;2014;February;11:03;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;38;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;
;2;20-feb-14;2014;February;11:06;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;48;2;0;C;M;;27;;15;;Mycteroperca olfax;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;2;20-feb-14;2014;February;11:06;Marchena;Marchena Este (Pta Espejo);Norte;Pelayo Salinas;10;40;48;2;0;C;M;;27;;15;;Lutjanus argentiventris;;;;;;2;15;;;;;;;;;;;;;;;;;;;;;;
