Primary_Key;Trasect_code;Date;Year;Month;Time;Island;Site;Bioregion;Diver;Depth;Dive_duration;Transect_length;Census_duration;Current;Temperature;Distance;Thermocline_depth;Water_temp_over_therm;Water_temp_below_therm;Vis_over_therm;Vis_below_therm;Habitat_type_RSM;Rugosity_0_3;Inclination_0_3;Rocky_reef_max_depth;SPECIES;Sex;S_less_30;S_30;S_35;S_40;S_50;S_60;S_70;S_80;S_90;S_100;S_110;S_125;S_150;S_175;S_200;S_210;S_225;S_250;S_300;S_350;S_400;S_more_400;Total;Comments;Cord1;Cord2
;6;28-feb-14;2014;February;15:32:15;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;49;2;0;C;M;;26;;15;;M;2;2;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;28-feb-14;2014;February;15:34:30;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;46;2;0;C;M;;26;;15;;M;1;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;28-feb-14;2014;February;15:36:45;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;47;2;0;C;M;;26;;15;;M;1;2;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;28-feb-14;2014;February;15:39:00;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;47;2;0;C;M;;26;;15;;M;1;2;17;Lutjanus argentiventris;;;;;;;;;;2;;;;;;;;;;;;;;;;;
;9;28-feb-14;2014;February;15:39:00;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;47;2;0;C;M;;26;;15;;M;1;2;17;Myvteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;10;28-feb-14;2014;February;15:41:15;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;28;2;0;C;M;;26;;15;;M;1;2;17;Myvteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;10;28-feb-14;2014;February;15:41:15;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;28;2;0;C;M;;26;;15;;M;1;2;17;Lutjanus argentiventris;;;;;;;1;;1;;;;;;;;;;;;;;;;;;
;11;28-feb-14;2014;February;15:43:30;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;45;2;0;C;M;;26;;15;;M;1;2;17;Myvteroperca olfax;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;11;28-feb-14;2014;February;15:43:30;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;45;2;0;C;M;;26;;15;;M;1;2;17;Lutjanus argentiventris;;;;;;1;;;;;;;;;;;;;;;;;;;;;
;11;28-feb-14;2014;February;15:43:30;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;45;2;0;C;M;;26;;15;;M;1;2;17;Triaenodon obesus;macho;;;;;;;;;;;;;1;;;;;;;;;;;;;
;12;28-feb-14;2014;February;15:45:45;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;53;2;0;C;M;;26;;15;;M;1;2;17;Myvteroperca olfax;;;;1;;;;;;;;;;;;;;;;;;;;;;;
;13;28-feb-14;2014;February;15:48:00;Isabela;Isabela Este 3;Centro-sur;Pelayo Salinas;15;40;49;2;0;C;M;;26;;15;;M;1;2;17;Triaenodon obesus;hembra;;;;;;;;;;;;;1;1;;;;;;;;;;;;
;1;01-mar-14;2014;March;06:52:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;44;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;1;;;1;;;;;;;;;;;;;;;;;;;;;
;1;01-mar-14;2014;March;06:52:00;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;44;2;0;C;M;;27;;20;;R;3;1;;Myvteroperca olfax;;;;;1;;;;;;;;;;;;;;;;;;;;;;
;2;01-mar-14;2014;March;06:54:15;Isabela;Cabo Marshall;Centro-sur;David Acuña;16;40;44;2;0;C;M;;27;;20;;R;3;1;;Lutjanus argentiventris;;;;;2;;;;;;;;;;;;;;;;;;;;;;
